Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Album Cover URL
All Night Longer,All Night Longer,seyhqnsert,4/15/2024,NL9KR2308498,4998,19.6,97901971,1,,,,,,,,,,,,,,,,,,,,0,https://i.scdn.co/image/ab67616d0000b2738fe5d04b06aff90f9fe796f5
Oye,Oye,LuckReaper,5/15/2024,NL9KR2313387,4879,19.9,47151307,,,,,,,,,,,,,,,,,,,,,1,https://i.scdn.co/image/ab67616d0000b2733ba92b218fbc97d244235a21
Smoke Gets in Your Eyes,Music Legends The Platters : The Legendary Band of R&B and Soul Music,The Platters,04-12-2024,FR6F32335350,4745,20.3,106782384,1,25,,,,,,,,,,,,,,,,,,,0,https://i.scdn.co/image/ab67616d0000b2734063d624ebf8ff67bc3701ee
Sprinter,25th Birthda,Central ce,06-06-2023,AEA2M2372385,4729,20.2,675375297,12,254,,,,,,,,,,,,,,,,,,,1,https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60
Nashe Si Chadh Gayi,November Top 10 Songs,Arijit Singh,11-08-2016,INY091600067,4591,19.4,145467020,14037,7387064,66,1118595159,3868828,11433,2534831,37757301,25150516,1,1200,,,,7,6817840,,,448292,,0,https://i.scdn.co/image/ab67616d0000b273f5dc36d5000145375a41c3b8
"Jaragandi (From ""Game Changer"") (Telugu)","Jaragandi (From ""Game Changer"") (Telugu)",Thaman S,3/27/2024,INH102405594,4587,19.4,3754914,101,1306604,,34315313,431343,,,,,1,,,,,8,,,,3169,,0,https://i.scdn.co/image/ab67616d0000b2732278917ee16313a9a00ce21d
Dil Meri Na Sune,"Dil Meri Na Sune (From ""Genius"")",Atif Aslam,7/27/2018,INT101800122,4575,19.4,52282360,4602,1449767,56,943920245,5347766,,1721,19935,24973048,1,412,,1,927,,,,,193590,,0,https://i.scdn.co/image/ab67616d0000b273f46a9ad551acbdab8f72fd89
Grace (feat. 42 Dugg),My Turn,Lil Baby,2/28/2020,USUG12000043,4571,19.4,189972685,72066,6704802,65,201027333,1081402,7596,5288677,36849005,29253152,19,204,,1,74,6,84426740,28999,,1135998,,1,https://i.scdn.co/image/ab67616d0000b273b10cd00a5865ea695f322dd7
Already Dead,Already Dead,Juice WRLD,11-12-2021,USUG12105423,4566,19.5,229232959,68879,11741541,61,46890832,889875,51484,4989535,61564975,25926849,19,133,72,12,106859,10,10040427,6822,,289269,,1,https://i.scdn.co/image/ab67616d0000b2737459992b444de38842b9bee7
Welcome To Brixton,Welcome To Brixton,SR,11/27/2020,GBLFP2046094,4565,19.5,211596324,92484,4912325,61,95279761,1240432,67607,29678545,296502190,30,3,77,,,,,,,,958743,,1,https://i.scdn.co/image/ab67616d0000b273c833b56c4f5ca1d1849925e2
Kokomo,The Very Best Of The Beach Boys: Sounds Of Summer (Expanded Edition Super Deluxe),The Beach Boys,6/17/2022,USUG12202078,4564,19.5,271362772,128,7504,25,,,,,,,15,,,,,,128876713,181102,,,,0,https://i.scdn.co/image/ab67616d0000b273c5634c0532097e175199f07e
Pa Mi,Pa Mi,Dalex,9/20/2018,QM9WM1800095,4563,19.5,50739695,7202,909473,34,858702700,4315847,,546773,4591851,12507864,4,207,11,3,18552,,9699636,3187,,342074,,1,https://i.scdn.co/image/ab67616d0000b273b9242ba03ab231608f123e06
Outside Today,Outside Today,YoungBoy Never Broke Again,01-11-2018,USAT21800223,4561,19.5,347754650,77541,8703094,65,262512471,1713131,120875,9317681,44191712,3853313,17,918,,3,8039,,202437193,143554,,923983,,1,https://i.scdn.co/image/ab67616d0000b2737622b889949b07f15c6b57e2
NASTY,NASTY,Russ,3/17/2023,QZQAY2314815,4560,19.5,23388367,9896,632527,50,42955563,460377,656241,50794628,511034419,4219869,,1224,837,,,,12660506,4381,,57729,,1,https://i.scdn.co/image/ab67616d0000b2731aa15c9a7287aaf7d5339928
Traicionera,Traicionera,Sebastian Yatra,6/24/2016,USUM71605331,4559,19.5,650511999,47448,15918487,67,795920437,4151098,162505,3991939,60797733,121660111,56,10134,37,42,79655,18,104115282,26343,,2233388,,0,https://i.scdn.co/image/ab67616d0000b273a04e5df68ea4c891a4252c7e
Daylight,Harry's House,Harry Styles,5/20/2022,USSM12200613,4558,19.5,377242486,42233,11501240,68,46848683,1141593,80961,39903732,224312083,62344312,21,4931,218,22,581162,8,20446088,4196,165194,224414,,0,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
Don't You Worry Child - Radio Edit,Until Now,Swedish House Mafia,01-01-2012,GBAAA1200728,4557,19.5,1088273121,203395,83814501,76,20942928,209498,25739,16932344,115452865,39509629,142,166092,,76,636337,46,293997575,349531,,102837,,0,https://i.scdn.co/image/ab67616d0000b2739cfe80c0c05ce104f7bab18e
Delilah (pull me out of this),Delilah (pull me out of this),Fred again..,10/17/2022,GBAHS2201028,4555,19.5,172321571,38159,7282524,61,441247,5740,23200,8183076,164453741,,46,16471,27,8,10505,22,353677,493,3734930,615432,,0,https://i.scdn.co/image/ab67616d0000b27320f9c767b8624a234a578f21
Asesina - Remix,Asesina (Remix),Brytiago,10/31/2018,QM6P41831934,4554,19.5,285851797,41294,10037160,57,658375389,2669794,6817,2802860,15966689,31982622,16,3073,6,12,73841,,9828021,4717,,764140,,0,https://i.scdn.co/image/ab67616d0000b273007a2b31feaf77c6c4af778e
Morado,Morado,J Balvin,01-09-2020,USUM71924691,4553,19.5,485274842,65140,16620315,58,257045287,2076627,151922,9099573,96188508,40113725,76,212,116,27,160369,18,58365539,8468,,1227531,,0,https://i.scdn.co/image/ab67616d0000b27335692baca45542527d742d0d
Focus,Focus,Ariana Grande,10/30/2015,USUM71516960,4551,19.5,315697428,27166,9169246,57,1033104472,6459847,319300,9810976,61451981,291876127,84,6723,1,31,227649,5,65640640,38385,4570896,1966828,,0,https://i.scdn.co/image/ab67616d0000b273d6ec808748fa5b0c2d3a6618
Freezing,Freezing - EP,purpl,02-02-2023,FR10S2303559,4550,19.5,,8,565,1,235195644,194030,,,,,,9,,,,,,,,,,0,https://i.scdn.co/image/ab67616d0000b273d72a0ec117ae8f29732888de
What's Love Got to Do with It,What's Love Got to Do with It,Kygo,7/17/2020,SEBGA2000676,4549,19.5,256297608,58370,25841346,62,66278933,517295,,,,3302263,90,220485,,61,750715,26,7386484,3123,,2387310,,0,https://i.scdn.co/image/ab67616d0000b273f0b43fee481f279a186dff20
SNAP - High and Fast,SNAP PACK - EP,Rosa Linn,7/15/2022,USSM12207368,4548,19.5,138349331,15155,4683187,59,2006799,61403,1277321,368213517,3723954244,,7,72,,1,203,8,,,817629,1936170,,0,https://i.scdn.co/image/ab67616d0000b273bf8502cd9ede8601f36b3dcb
"Tu Juliet Jatt Di ( From ""Jatt & Juliet 3"")","Tu Juliet Jatt Di ( From ""Jatt & Juliet 3"")",Diljit Dosanjh,5/24/2024,INM432400129,4547,19.5,1633647,160,2592948,,9700826,164575,,,,19904542,8,29,,,,4,,,,5598,,0,https://i.scdn.co/image/ab67616d0000b273a062ab65af4a67d792aba1f1
You,You,Willy Paul,11/25/2022,QZW9K2296922,4546,19.5,330280,174,8772,20,6023690,52656,1700000,19786116,267911446,,,,,,,,,,,184355,,0,https://i.scdn.co/image/ab67616d0000b27309a7d565f68e0f9955e188c9
Tera Fitoor,"Tera Fitoor (From ""Genius"")",Arijit Singh,07-12-2018,INT101800121,4545,19.5,108748134,8561,5661296,68,900050812,4918218,114,24716,331691,32388440,4,721,,,,,396783,321,,203282,,0,https://i.scdn.co/image/ab67616d0000b273b10cd00a5865ea695f322dd7
DArkSide,DArkSide,Bring Me The Horizon,10/13/2023,GBARL2301374,4544,19.5,63083021,18060,4947020,,5393767,65609,53,2592,32457,,13,5949,66,9,101954,21,4075446,261,,157934,,1,https://i.scdn.co/image/ab67616d0000b273df51a3d66223e5b01813e0c4
Cham Cham,Baaghi,Meet Bros.,04-09-2016,INS181600477,4543,19.5,21092086,3414,1082794,45,1235706833,4131568,461200,15268359,258442943,30817361,1,20,,,,2,,,,53500,,0,https://i.scdn.co/image/ab67616d0000b273c8d81ccb980b57d373e91f62
When I Grow Up,When I Grow Up,NF,6/27/2019,USUM71910672,4542,19.5,353038338,64001,7457128,66,309458776,4303644,20311,3628465,38818268,3146810,7,203,,3,12280,5,79383183,61626,,521339,,0,https://i.scdn.co/image/ab67616d0000b273942a0c9ac8f1def7c8805044
Fuentes de Ortiz,mix pa llorar en tu cuarto,Ed Maverick,03-02-2018,QZBRF1813584,4538,19.5,583209382,66332,17627488,71,561013544,4030692,56188,25942489,187698778,34698023,27,931,4,18,54106,14,2659814,6481,,1385244,,1,https://i.scdn.co/image/ab67616d0000b2736c4c83779f5d3cd6ad3e1aec
The Hillbillies,The Hillbillies,Baby Keem,06-05-2023,USSM12303805,4537,19.5,59629684,29361,8124531,63,5737464,71512,84,171969,889338,,22,12731,56,10,115828,19,1430834,627,,302804,,1,https://i.scdn.co/image/ab67616d0000b273c4441140f4483bb1c18fe7ae
TV Shapes,TV Shapes,Bubbatrees,8/19/2022,UKSWX1900031,4536,19.5,,3,9,,322528461,298488,,,,,,5,,,,,,,,1,,0,https://i.scdn.co/image/ab67616d0000b2732860e4aec191b6d21fa5b831
Mama's Boy,Mama's Boy,Dominic Fike,6/23/2023,USQX92301820,4535,19.5,122999909,24570,9827231,69,16644597,357403,282,76696,697596,226510,23,279,314,26,356118,15,380693,1733,,507011,,0,https://i.scdn.co/image/ab67616d0000b2730fb08616c78d44ceb4c8d061
SEJODIOTO,SEJODIOTO,KAROL G,9/21/2021,USUM72117129,4533,19.6,350738636,29760,11290192,66,154323126,1697768,214500,29252686,351428481,12339929,42,19998,285,20,175016,27,47444595,7262,,571685,,1,https://i.scdn.co/image/ab67616d0000b27379cefb8708792401a9fac8b3
Superpowers,NEVER ENOUGH,Daniel Caesar,04-07-2023,USUG12209368,4532,19.6,112162450,16616,12404532,72,35498149,286497,198818,28598597,158972578,19897164,5,88,,6,75827,6,337891,1920,2528450,194158,,0,https://i.scdn.co/image/ab67616d0000b2737c68face1dc58127f3a7b1cc
Country Girl (Shake It For Me),Tailgates & Tanlines,Luke Bryan,01-01-2011,USCN11100078,4530,19.6,464203349,69767,12116553,70,192327944,1072108,105583,24892738,136935165,161542927,45,99018,141,3,106,24,514853161,931824,1017184,2256949,,0,https://i.scdn.co/image/ab67616d0000b273dab325d38db91d858446d4b4
I.F.L.Y.,I.F.L.Y.,Bazzi,7/18/2019,USAT21903826,4529,19.6,593718503,73008,13922244,65,229847460,2270041,460911,117400155,728210556,66737333,35,13279,,17,15884,1,34734201,19645,,1246464,,1,https://i.scdn.co/image/ab67616d0000b2733a376bd9b9b1f4b2686807db
"Dawai (From ""Air Mata Di Ujung Sajadah"")","Dawai (From ""Air Mata Di Ujung Sajadah"") - Single",Fadhilah Intan,7/30/2023,QZNWX2385075,4528,19.6,36975805,2385,806413,,87923967,442748,233053,45997476,724187108,45212529,1,1797,,,,,,,,67313,,0,https://i.scdn.co/image/ab67616d0000b27383b9e0610f3406bbbdbf7771
God is a woman,God is a woman,Ariana Grande,7/13/2018,USUM71808574,4527,19.6,1064927546,83580,36516267,70,120105486,1141821,545,258785,2480889,1209261,90,88924,60,43,313446,,134305701,63318,,2195677,,1,https://i.scdn.co/image/ab67616d0000b273c3af0c2355c24ed7023cd394
Come & Get It,Stars Dance,Selena Gomez,01-01-2013,USHR11334422,4526,19.6,412118303,56547,23398521,64,863861067,5523754,278923,103430102,931798909,509376370,51,10224,116,23,493472,31,342338643,238693,,5049335,,0,https://i.scdn.co/image/ab67616d0000b2730e36690135fa1a30d048e604
Stupid Love,Stupid Love,Lady Gaga,2/28/2020,USUM71917357,4524,19.6,377746254,41379,13698064,62,192582605,2080748,42881,11641151,102362534,297125949,111,189664,145,68,351648,60,28518146,18525,,1998557,,0,https://i.scdn.co/image/ab67616d0000b2736040effba89b9b00a6f6743a
ATM,ATM - Single,Nemzzz,5/16/2024,US38Y2409882,4523,19.6,6184259,1641,8841671,67,1090122,43929,,,,,5,102,6,4,327160,17,,,373165,965,,1,https://i.scdn.co/image/ab67616d0000b2739859b12fbae84d286c13ac89
Who's Laughing Now,Who's Laughing Now,Ava Max,7/30/2020,USAT22001106,4522,19.6,218674366,34897,3519653,57,242536989,2020435,48606,6100208,72001415,16182813,37,142362,,28,861322,6,12733716,5842,,2245711,,0,https://i.scdn.co/image/ab67616d0000b2739a95e89d24214b94de36ccf7
Crazy Story,"Grandson, Vol. 1",King Von,9/20/2019,USUYG1274314,4521,19.6,261230912,38453,1768938,65,1001379,14464,,,,,,1,,,,1,,,51869592,1184983,,1,https://i.scdn.co/image/ab67616d0000b2737155e10eafd9c0aa6ff2a707
Di Que Si,Di Que Si,Grupo Marca Registrada,02-03-2023,USA2P2308597,4520,19.6,278308556,22061,8857760,61,37305033,258130,,,,,12,4017,,3,64646,7,26681267,4638,,693344,,0,https://i.scdn.co/image/ab67616d0000b273c98f30e0afd08bb2c5be30ef
AirBnb,Valedictorian,ian,5/17/2024,USQX92402277,4519,19.6,3970523,1230,392098,67,408201,9173,,,,,2,,,,,,3398,11,671893,,,1,https://i.scdn.co/image/ab67616d0000b273a3d9d6750279f6b9b9c9ead9
Queen of Mean,Descendants 3 (Original TV Movie Soundtrack),Sarah Jeffery,08-02-2019,USWD11993388,4517,19.6,118934988,14432,11298588,60,528359923,4933066,38800,21078712,132642128,45255347,14,62,165,,,10,21298372,164505,,430420,,0,https://i.scdn.co/image/ab67616d0000b273668a1a1e508d6406daa0179a
Luminary,Luminary,Joel Sunny,09-01-2023,AUGBT2300497,4515,19.6,46714864,9858,3121602,,13704932,420415,273300,125499784,1151755306,,,228,,,,,,,,1211721,,0,https://i.scdn.co/image/ab67616d0000b273e86aef6c9efb895f0e01519b
Medusa,Medusa,Jhay Cortez,02-05-2020,USUM72002360,4514,19.6,234126191,47086,12435270,58,409564436,2500771,140889,10785683,88814154,5483154,68,3114,31,14,136519,30,18688171,8139,,654623,,1,https://i.scdn.co/image/ab67616d0000b273aa3bbf26a1ff6343348f501d
Minefields,Minefields,Faouzia,11-05-2020,USAT22006815,4513,19.6,160979905,23825,5329581,57,280111313,2138306,508032,76984704,1074096649,611181814,20,49231,,14,143722,23,4744421,2727,,2000620,,0,https://i.scdn.co/image/ab67616d0000b273392d8760b03f0e926d66f82d
The Greatest Show,The Greatest Show,Hugh Jackman,10/27/2017,USAT21704616,4511,19.6,552343934,53558,7170543,65,274208281,1429714,,,,19916476,27,2052,,4,10609,4,64544496,391576,1689340,1947292,,0,https://i.scdn.co/image/ab67616d0000b273128057b40732c042c86de1dd
Smells Like Teen Spirit,Nevermind (30th Anniversary Edition Super Deluxe),Nirvana,9/24/1991,USGF19942501,4510,19.6,2021910364,410054,113406994,77,348081676,4710499,264172,95247745,720283921,837901,287,146813,287,256,3993523,97,691979509,317966,13047851,12775440,,0,https://i.scdn.co/image/ab67616d0000b273fbc71c99f9c1296c56dd51b6
CARNAL,CARNAL,Peso Pluma,6/22/2023,QM7282306234,4508,19.6,148341816,16108,4577460,69,52338032,196543,,,,,4,1,,,,6,11158728,830,,155844,,1,https://i.scdn.co/image/ab67616d0000b2732fb583ed96f8f35cbf2897ba
"Mast Malang Jhoom (From ""Bade Miyan Chote Miyan - Kannada"")","Mast Malang Jhoom (From ""Bade Miyan Chote Miyan - Kannada"") - Single",Vishal Mishra,03-01-2024,INZ031414619,4506,19.6,,,,,51652792,512990,,,,320862,,,,,,,,,,1,,0,https://i.scdn.co/image/ab67616d0000b273fb31f26c7682fd17b8243678
ARRANCARMELO,ARRANCARMELO,WOS,04-06-2022,UYB282206048,4504,19.6,223426639,36161,8039699,63,135822239,1770582,83501,52704504,422027661,135460144,6,2526,,7,281211,4,16762,166,,538337,,0,https://i.scdn.co/image/ab67616d0000b273d8c9945c63f1806031dae6f0
my future,my future,Billie Eilish,7/30/2020,USUM72013019,4502,19.6,461892532,69326,20986678,64,175821589,5873880,76587,20741250,123540119,25038982,94,19138,101,35,217583,43,16658690,12326,,1143845,,0,https://i.scdn.co/image/ab67616d0000b273954fe13f7c5f4b2f18d066b8
In the morning,GUESS WHO,ITZY,4/30/2021,US5TA2100004,4499,19.6,205110323,21243,3562675,60,371693639,6571826,85629,98044796,550643662,137260316,18,1889,52,1,1353,11,598765,1330,,336074,,0,https://i.scdn.co/image/ab67616d0000b273131cf6fcb170cda7a7956227
Hood By Air Freestyle,Hood By Air Freestyle - Single,Baby Flaco,4/26/2024,QZLMG2000292,4498,19.6,,,,,,,,,,,,,,,,,,,,1526440,,0,https://i.scdn.co/image/ab67616d0000b27302b3b2834b5d833c2d5a8306
Uno,Uno,Ambjaay,05-10-2019,USSM11903445,4497,19.6,128411645,25190,4018662,47,86561302,1275303,17467,14675601,112331903,14950722,23,210,,3,41938,1,17430949,55733,55404639,1227296,,1,https://i.scdn.co/image/ab67616d0000b2734d2876a55009133d67e7945f
Doin' Time,Norman Fucking Rockwell!,Lana Del Rey,8/30/2019,GBUM71903894,4496,19.6,680707791,87833,27581024,74,48297331,611115,43653,21000926,184535006,,43,49001,8,26,90526,5,74241424,20646,,4213597,,1,https://i.scdn.co/image/ab67616d0000b273879e9318cb9f4e05ee552ac9
The Way I Are,Shock Value (International Version),Timbaland,01-01-2007,USUM70722806,4495,19.6,858734232,177813,63919947,78,671323389,3052958,43406,31003462,318483532,188799981,100,56432,347,31,638072,22,404463590,176142,1896764,10984658,,0,https://i.scdn.co/image/ab67616d0000b2734ed674ab91bdc566534f9285
Don't Rush (feat. Headie One),Don't Rush (feat. Headie One),Young T & Bugsey,11-07-2019,GBARL1901201,4492,19.7,209328795,69599,10534579,54,176353020,1757636,584720,45308104,463196104,18340338,76,10,,22,139384,12,31067301,23634,,5823976,,1,https://i.scdn.co/image/ab67616d0000b27311690918ae1658d0253e46fb
DFMU,DFMU,Ella Mai,1/28/2022,USUM72123679,4491,19.7,59929910,13316,1804462,56,87393499,637357,39180,3603590,36200780,50573744,18,99339,428,8,95541,14,74838753,12344,3910975,810803,,1,https://i.scdn.co/image/ab67616d0000b273e8986406dc339143b253b280
You should be sad,You should be sad,Halsey,11-08-2019,USUM71918343,4490,19.7,557921212,56240,15063771,64,61717959,619110,27870,5508696,41811499,36612,73,118637,338,26,118382,7,105657255,42730,5930140,2538528,,1,https://i.scdn.co/image/ab67616d0000b2737636e1c9e67eaafc9f49aefd
Fadeaway,Fadeaway,BCD Studio,06-11-2021,FRX202154470,4488,19.7,3711,6,17,,,,3700000,51488829,1319467906,,,,,,,,,,,,,0,https://i.scdn.co/image/ab67616d0000b273a108e07c661f9fc54de9c43a
Show of Hands,WE STILL DON'T TRUST YOU,Future,04-12-2024,USSM12403211,4487,19.7,19215365,5410,3554627,,97631,998,,,,,8,59,,2,21624,2,165446,109,,44349,,1,https://i.scdn.co/image/ab67616d0000b273c8737379745bc811274e300a
Ella,Corridos Tumbados,Junior H,10/31/2019,USDXS1910299,4486,19.7,404073512,42797,7070994,69,328021225,1916957,51604,14598836,101301634,13436612,9,48,,2,31079,5,31636806,19540,9763489,1254798,,0,https://i.scdn.co/image/ab67616d0000b273a12c000028e343a8496612bf
Haegeum,D-DAY,Agust D,4/21/2023,USA2P2310691,4485,19.7,285039741,8884,17220812,75,80959733,5337877,151700,111667305,528452231,124964447,14,1864,40,5,919359,8,1329215,168,,187778,,0,https://i.scdn.co/image/ab67616d0000b273fa9247b68471b82d2125651e
Sisa Rasa,Sisa Rasa,Mahalini,10/22/2021,FRX762160980,4484,19.7,277051326,13527,3805292,36,246505345,1442640,560615,230504439,3263936018,1272705,13,6309,,,,,,,,104366,,0,https://i.scdn.co/image/ab67616d0000b2736f713eb92ebf7ca05a562542
Happy Birthday,Happy Birthday,YolyBoy,08-10-2021,QZK6G2124199,4483,19.7,1761,1,5,,,,3500000,16599648,166506168,,,,,,,,,,,,,0,https://i.scdn.co/image/ab67616d0000b273d853c885a7d39e95314c0612
Woo Baby (feat. Chris Brown),Faith,Pop Smoke,7/16/2021,USUM72112396,4482,19.7,156697759,69258,5943506,62,59647655,736873,21014,3861283,54292475,40048862,40,26638,1076,8,145596,14,32312848,4740,,1065106,,1,https://i.scdn.co/image/ab67616d0000b27379476cf856443329e6c52c04
Sing Me to Sleep,The RCA-List (Vol. 2),Alan Walker,01-01-2016,NOG841611010,4481,19.7,381501023,56234,10566251,56,933353581,7640646,239631,9860965,133544796,248228132,40,22576,,10,84292,13,45353135,36069,2061025,32256,,0,https://i.scdn.co/image/ab67616d0000b273e572359074e5da958a922987
Cry Baby (feat. DaBaby),Good News,Megan Thee Stallion,11/20/2020,QMCE32000678,4480,19.7,208151054,38294,10075280,59,218386390,2462386,632550,307941931,2020694174,180147323,4,75639,160,1,12,4,,,,,,1,https://i.scdn.co/image/ab67616d0000b273e98db400627a014948dd3cee
Dancing Feet (feat. DNCE),Dancing Feet (feat. DNCE),Kygo,2/25/2022,USRC12200139,4479,19.7,194708224,32664,28154571,61,20154009,183170,5040,2974319,29481029,249991266,54,158571,40,50,450408,20,5959629,1347,,1253748,,0,https://i.scdn.co/image/ab67616d0000b273d353552c4c2932094456bbe9
"Ranjha (From ""Shershaah"")","Ranjha (From ""Shershaah"")",Jasleen Royal,08-05-2021,INS172102719,4478,19.7,380785241,31820,12294093,67,236863842,1710700,229768,17948279,288771523,96511,24,703,,1,1097,2,,,,439148,,0,https://i.scdn.co/image/ab67616d0000b27309426d9ae9d8d981735ebc5e
Cumbia Buena,Cumbia Buena,Grupo la Cumbia,3/13/2020,QZGLM2048244,4476,19.7,35324338,8655,6561177,55,20232023,188767,4201337,681866858,8808203215,,2,1971,,1,7814,,14651981,4076,,785161,,0,https://i.scdn.co/image/ab67616d0000b273da256972582b455d46985ba9
Way Back Home,Take,SHAUN,6/27/2018,KRF221800012,4475,19.7,211581810,29803,3666168,63,137544172,1154680,4469485,209217443,3149064834,,13,144,1,3,16529,26,107648,,,1277487,,0,https://i.scdn.co/image/ab67616d0000b27391994452af66b672954b6eb4
Slippery (feat. Gucci Mane),Culture,Migos,1/27/2017,QMCE31600876,4474,19.7,599318070,101794,18074301,61,115314262,913087,28876,4958824,48083562,6206,64,5509,74,17,54367,4,364060709,156903,,2694476,,1,https://i.scdn.co/image/ab67616d0000b2736275aeac316378b0dd4f31fd
Cold Heart (Claptone Remix),Cold Heart (Claptone Remix),Elton John,10-08-2021,GBUM72105701,4473,19.7,39941762,16015,4618819,52,347059146,2044052,,,,383593,17,12216,1510,7,115833,,591617,1996,,613098,,0,https://i.scdn.co/image/ab67616d0000b2738b5c6d6bb24f7e5bb43b8b44
Animals,Tremor (Sensation 2014 Anthem),Martin Garrix,01-01-2014,AUNV01400494,4472,19.7,,,,,1832515825,12911895,,,,290750491,,,,,,,,,,,,0,https://i.scdn.co/image/ab67616d0000b2736abad6915a2216dc18e7e3a7
The Heart Part 5,The Heart Part 5,Kendrick Lamar,05-08-2022,USUM72208318,4470,19.7,89806639,41371,4068649,59,55825164,2131185,12094,5344281,49727704,470940171,21,172,28,9,104775,23,2152456,1174,8141454,303787,,1,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f
Super Bass,Pink Friday,Nicki Minaj,01-01-2010,USCM51000734,4469,19.7,855080751,112252,49283690,74,1308913092,7034253,289637,67010436,466335090,155920012,89,65245,247,26,275003,46,,,12825913,3513462,,1,https://i.scdn.co/image/ab67616d0000b273aa7d2641af0fa4c1f76fafbf
Teri Aankhon Mein,Teri Aankhon Mein,Darshan Raval,10-07-2020,INS182006492,4468,19.7,68139013,6814,1406482,54,565499581,5203108,,,,227912043,1,484,,,,8,,,,107558,,0,https://i.scdn.co/image/ab67616d0000b273d1dcdada40e51563cab2ff2a
REPEAT IT,REPEAT IT,Lil Tecca,08-06-2021,USUM72113370,4467,19.7,176048317,70149,13900314,54,27753856,516329,118,38948,571049,1564606,37,5256,,5,434190,3,3251875,1962,8735720,298734,,1,https://i.scdn.co/image/ab67616d0000b273cda237a502031f4caa2c1bde
Ex's & Oh's,Love Stuff (Japan Version),Elle King,01-01-2014,USRC11401950,4466,19.7,501915477,87258,27223463,66,317068971,2821803,45257,5759482,29687816,14824786,119,114659,240,36,78076,26,351130418,154550,9884534,11012948,,0,https://i.scdn.co/image/ab67616d0000b273eb5a4a3ad6b9548ce4ca2c03
Train Wreck,Back from the Edge,James Arthur,10/28/2016,DEE861600590,4464,19.7,803983295,106924,55494559,72,365027836,3784864,607082,245258586,1514260404,220590518,85,20918,,50,348146,3,33914425,41555,588731,3541704,,0,https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab
Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version),Taylor Swift,10/26/2023,USUG12306688,4463,19.7,176970541,12080,14949964,,11719848,167779,34187,7301411,50830371,63710323,10,1260,,4,16079,32,5334445,1775,,116655,,0,https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac
Chorei na Vaquejada,Chorei na Vaquejada,Eric Land,4/14/2023,BXZAW2200037,4462,19.7,120491749,8494,11387986,63,118976231,658718,110713,5335542,64087674,810355,6,547,,27,907118,13,,,,48025,,0,https://i.scdn.co/image/ab67616d0000b273eb4121feca968298ac9e2720
Boys,Boys,Charli xcx,7/26/2017,GBAHS1700564,4461,19.7,180051347,22760,6840979,52,14546112,287534,6756868,92473025,985761413,114195,3,4789,29,19,194910,11,1056419,13040,241956,,,0,https://i.scdn.co/image/ab67616d0000b273cbaa9b860f966a44465b6e31
NDA,NDA,Billie Eilish,07-09-2021,USUM72105935,4460,19.7,333792226,59316,13920863,70,82079675,2306717,82676,74085591,536488373,39033981,80,22576,103,13,592349,8,11584613,5361,,1758003,,1,https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e
Casper,The Last Rocket,Takeoff,11-02-2018,USUG11801771,4459,19.7,234838690,72603,7243039,63,46543188,628770,15008,2345025,23557281,23439720,14,14,,5,6924,1,8870437,10603,49145984,687210,,1,https://i.scdn.co/image/ab67616d0000b273b809506b2a5d8fa7b9c2c926
Zarzour,Zarzour,Lartiste,6/22/2023,FR6P12300670,4457,19.7,31038318,9392,2015738,57,100634134,570025,,,,,5,8005,,3,126271,,,,,308362,,1,https://i.scdn.co/image/ab67616d0000b273bff4c9d8885b738ae7ac5830
Never Last,Number 2 / Never Last,Lil Tecca,05-03-2024,USUM72404636,4455,19.7,9126485,2054,1013145,,2292547,82132,,,,381728,3,,,,,,66741,43,588983,,,1,https://i.scdn.co/image/ab67616d0000b273e55a3924103c132fd3fdc480
Big Gangsta,Big Gangsta,Kevin Gates,5/17/2019,USAT21902781,4454,19.8,199248929,60481,4931520,56,261079023,2146409,609586,85181373,713540521,791982,8,2,,6,6125,1,106702648,61855,,1423575,,1,https://i.scdn.co/image/ab67616d0000b273f8a9c2fe71ac2eb53524392b
She Make It Clap,She Make It Clap,Soulja Boy,03-12-2021,TCAFL2178806,4452,19.8,87813373,35497,4333964,51,22158547,645841,1908028,389171513,3050656195,1075513,15,11520,147,1,458,3,11767557,7464,3340704,571513,,1,https://i.scdn.co/image/ab67616d0000b27307049eb0e5309d1dcdef1599
